Source Target Weight
RGMA TSPAN6 1
RGMA SLC22A16 1
RGMA SOX8 1
RGMA CX3CL1 1
RGMA GIPR 1
RGMA PRSS3 1
RGMA ACPP 1
RGMA WWTR1 1
RGMA PLEKHB1 1
RGMA GPM6B 1
RGMA LIMA1 1
RGMA MAPK9 1
RGMA FOXC1 1
RGMA CHRDL2 1
RGMA YBX3 1
RGMA ROPN1 1
RGMA SNAP91 1
RGMA IL34 1
RGMA KIT 1
RGMA NCK1 1
RGMA MRAS 1
RGMA NRG2 1
RGMA NPM2 1
RGMA PDE9A 1
RGMA S100B 1
RGMA PRMT2 1
RGMA S100A1 1
RGMA MPP3 1
RGMA LARP4 1
RGMA RAVER2 1
RGMA ALPL 1
RGMA HFM1 1
RGMA KLHDC8A 1
RGMA FAM19A4 1
RGMA MGAT4A 1
RGMA CDH19 1
RGMA SCARB1 1
RGMA CLCN4 1
RGMA MLH1 1
RGMA RARB 1
RGMA CAPN6 1
RGMA MAP2 1
RGMA CDH17 1
RGMA DCT 1
RGMA PKP1 1
RGMA SLCO1A2 1
RGMA LZTS3 1
RGMA SMPX 1
RGMA TF 1
RGMA PHGDH 1
RGMA COL9A3 1
RGMA ECHDC1 1
RGMA PTX3 1
RGMA SLC51A 1
RGMA MELTF 1
RGMA APEH 1
RGMA CAMKV 1
RGMA PRSS12 1
RGMA SCRG1 1
RGMA AGGF1 1
RGMA ENPP6 1
RGMA DACT2 1
RGMA KCNK5 1
RGMA CA3 1
RGMA NIPSNAP3B 1
RGMA CPA6 1
RGMA PTCHD1 1
RGMA DEUP1 1
RGMA PHYHIPL 1
RGMA DEPP1 1
RGMA ZNF22 1
RGMA NDRG2 1
RGMA CEP57 1
RGMA LARP6 1
RGMA CYYR1 1
RGMA CRABP1 1
RGMA CDYL2 1
RGMA TMPRSS5 1
RGMA GPRC5B 1
RGMA LPO 1
RGMA TTYH1 1
RGMA KLK1 1
RGMA KLK11 1
RGMA KLK13 1
RGMA FAM107A 1
RGMA HEXIM2 1
RGMA ING2 1
RGMA ABHD15 1
RGMA ADAL 1
RGMA SOX14 1
RGMA DHRSX 1
RGMA ALCAM 1
RGMA TMEM192 1
RGMA RNF150 1
RGMA KRT83 1
RGMA TANC2 1
RGMA NRTN 1
RGMA SOSTDC1 1
RGMA LRRC8D 1
RGMA CXXC5 1
RGMA CALB2 1
RGMA FRMD3 1
RGMA ID4 1
RGMA STOX2 1
RGMA TAS1R1 1
RGMA MARCH10 1
RGMA C12orf66 1
RGMA CNTNAP2 1
RGMA MFSD4A 1
RGMA UGT8 1
RGMA THAP6 1
