MR,List_ICR_Cancers,No_ICR_Cancers
CIITA,LGG KIRC PAAD UVM,4
TFEC,LGG KIRC PAAD UVM,4
CD4,LGG KIRC PAAD UVM,4
PARP9,LGG KIRC PAAD UVM,4
IKZF1,LGG KIRC PAAD UVM,4
LILRB4,LGG KIRC PAAD UVM,4
HCLS1,LGG KIRC PAAD UVM,4
PTAFR,LGG KIRC PAAD UVM,4
CD74,LGG KIRC PAAD UVM,4
NCF1,LGG KIRC PAAD UVM,4
LGALS9,LGG KIRC PAAD UVM,4
NLRP3,LGG KIRC PAAD UVM,4
PARP14,LGG KIRC PAAD UVM,4
IRF1,LGG KIRC PAAD UVM,4
CD28,LGG KIRC PAAD UVM,4
TMIGD3,LGG KIRC PAAD UVM,4
IKZF3,LGG KIRC PAAD UVM,4
TRIM22,LGG KIRC PAAD UVM,4
STAT1,LGG KIRC PAAD UVM,4
KLHL6,LGG KIRC PAAD UVM,4
PSMB9,LGG KIRC PAAD UVM,4
CXCL10,LGG KIRC PAAD UVM,4
FLI1,LGG KIRC PAAD UVM,4
NFAM1,LGG KIRC PAAD UVM,4
S100A8,LGG KIRC PAAD UVM,4
PSMB8,LGG KIRC PAAD UVM,4
NLRC5,LGG KIRC PAAD UVM,4
PARP15,LGG KIRC PAAD UVM,4
S1PR1,LGG KIRC PAAD UVM,4
CD38,LGG KIRC PAAD UVM,4
BCL11B,LGG KIRC PAAD UVM,4
ZBTB47,LGG KIRC PAAD UVM,4
PSME2,LGG KIRC PAAD UVM,4
CARD16,LGG KIRC UVM,3
TRIM21,LGG KIRC UVM,3
ENG,LGG KIRC PAAD,3
HAVCR2,LGG PAAD UVM,3
NLRC4,LGG KIRC PAAD,3
BATF,LGG KIRC UVM,3
HTATIP2,LGG PAAD UVM,3
BCL6B,LGG KIRC PAAD,3
PRKCH,LGG KIRC PAAD,3
MECOM,LGG KIRC UVM,3
HMOX1,LGG KIRC UVM,3
DTX3L,LGG PAAD UVM,3
TNFRSF4,LGG PAAD UVM,3
HAMP,LGG KIRC PAAD,3
TLR2,LGG KIRC PAAD,3
ICAM1,LGG KIRC PAAD,3
S100A9,LGG PAAD UVM,3
CEBPA,LGG KIRC UVM,3
LEF1,LGG PAAD UVM,3
TSSK4,LGG KIRC PAAD,3
HDAC10,LGG KIRC PAAD,3
TCERG1,LGG KIRC PAAD,3
HDAC11,LGG KIRC UVM,3
PDE2A,LGG KIRC PAAD,3
PRKCB,LGG KIRC PAAD,3
RHOG,LGG KIRC PAAD,3
ETV7,LGG KIRC UVM,3
FABP4,LGG KIRC PAAD,3
TMSB4X,LGG KIRC UVM,3
EDNRB,LGG KIRC PAAD,3
BCL3,LGG KIRC UVM,3
STAT2,LGG KIRC UVM,3
CCNT2,LGG PAAD UVM,3
TMEM100,LGG KIRC PAAD,3
APOE,LGG KIRC PAAD,3
KLF9,LGG KIRC PAAD,3
SMO,LGG KIRC PAAD,3
MSC,LGG KIRC PAAD,3
PRDM1,KIRC PAAD UVM,3
LPXN,KIRC PAAD UVM,3
ZNF831,KIRC PAAD UVM,3
CMKLR1,KIRC PAAD UVM,3
PIM2,KIRC PAAD UVM,3
PSMB10,KIRC PAAD UVM,3
BATF2,KIRC PAAD UVM,3
POU2AF1,KIRC PAAD UVM,3
STAT4,KIRC PAAD UVM,3
NOTCH3,KIRC PAAD UVM,3
CAVIN1,LGG PAAD,2
TGFB2,LGG KIRC,2
PLSCR1,LGG PAAD,2
SP140L,LGG UVM,2
CAV1,LGG PAAD,2
RPS6KA1,LGG KIRC,2
DCN,LGG PAAD,2
TLR6,LGG KIRC,2
PYCARD,LGG KIRC,2
ASF1B,LGG KIRC,2
DEPDC1,LGG KIRC,2
MYBL2,LGG KIRC,2
LUM,LGG PAAD,2
FOXS1,LGG UVM,2
CCNA2,LGG KIRC,2
CENPF,LGG KIRC,2
FOXM1,LGG KIRC,2
NOTCH4,LGG KIRC,2
DLGAP5,LGG KIRC,2
DLL4,LGG UVM,2
COL1A1,LGG PAAD,2
TLR3,LGG UVM,2
CYP1B1,LGG PAAD,2
SERPINE1,LGG PAAD,2
PLK3,LGG PAAD,2
DAB2,LGG PAAD,2
LMO2,LGG UVM,2
CDC6,LGG KIRC,2
RPS6KA4,LGG KIRC,2
SP110,LGG PAAD,2
VGLL3,LGG PAAD,2
ING5,LGG KIRC,2
S100A1,LGG KIRC,2
NRIP2,LGG KIRC,2
TRIM52,LGG PAAD,2
HSF4,LGG PAAD,2
SFRP2,LGG PAAD,2
ZEB2,LGG PAAD,2
STK3,LGG KIRC,2
MTERF2,LGG PAAD,2
ZNF337,LGG PAAD,2
BTRC,LGG UVM,2
L3MBTL1,LGG PAAD,2
GTF2H4,LGG PAAD,2
APBB1,LGG KIRC,2
HLF,LGG KIRC,2
KAT2A,LGG PAAD,2
ZNF133,LGG PAAD,2
RNF141,LGG KIRC,2
SOX6,LGG KIRC,2
ZNF536,LGG PAAD,2
ZNF276,LGG KIRC,2
LHX6,LGG PAAD,2
CRY2,LGG KIRC,2
MAPRE3,LGG KIRC,2
MICAL2,LGG UVM,2
BCL2L12,LGG UVM,2
PRKCZ,LGG KIRC,2
MAML3,LGG KIRC,2
ZNF354B,LGG PAAD,2
E2F1,LGG KIRC,2
CDH13,LGG KIRC,2
PDPK1,LGG KIRC,2
IRF3,LGG KIRC,2
OGT,LGG KIRC,2
