MR & FC_Median & Pval
CD74 & 0.213 & 9.68474806910364e-83
IKZF3 & 0.206 & 7.08593139899144e-87
BATF & 0.203 & 1.41888326418268e-68
PSMB9 & 0.201 & 4.88489726347782e-78
CIITA & 0.192 & 8.88042257589214e-73
CXCL10 & 0.182 & 7.08593139899144e-87
IRF1 & 0.182 & 5.55059061069545e-74
NCF1 & 0.182 & 1.07785556817273e-70
CD28 & 0.174 & 1.94636088539621e-70
STAT1 & 0.17 & 2.21921102089951e-82
PARP9 & 0.165 & 9.34317167093825e-75
CARD16 & 0.164 & 5.42942191023182e-63
PSMB8 & 0.162 & 2.01739589934513e-63
NFAM1 & 0.16 & 5.54623425938461e-60
NLRC5 & 0.158 & 1.48105685966635e-64
LUM & 0.155 & 1.02284638401389e-32
PARP14 & 0.155 & 3.05728913326844e-73
LILRB4 & 0.152 & 6.46833664532087e-47
IFI16 & 0.151 & 3.89939044888252e-53
LPXN & 0.151 & 1.14901922057592e-49
TLR2 & 0.15 & 2.40968399882976e-49
IKZF1 & 0.149 & 2.29270397018973e-55
CD4 & 0.148 & 2.55624857852132e-57
ETV7 & 0.147 & 3.72556421158327e-51
HCLS1 & 0.146 & 1.20543035039144e-56
SP140L & 0.146 & 2.45267065051384e-47
COL1A1 & 0.144 & 1.32451646855468e-36
TRIM22 & 0.14 & 5.78328349626378e-64
PARP15 & 0.138 & 5.42942191023182e-63
PSMB10 & 0.136 & 3.52773800356725e-48
TMSB4X & 0.134 & 1.01402175543775e-60
TFEC & 0.132 & 3.08243847551768e-36
LGALS9 & 0.13 & 1.02312785256106e-48
PLSCR1 & 0.128 & 1.7766951805347e-37
BATF2 & 0.127 & 6.94264489879132e-39
NLRC4 & 0.127 & 4.69177036127025e-53
HAMP & 0.126 & 2.21991717129337e-47
PSME2 & 0.125 & 7.04345854763932e-46
HAVCR2 & 0.123 & 3.50278624780171e-40
KLHL6 & 0.122 & 1.93045311299686e-56
DTX3L & 0.121 & 1.9373495515162e-43
ICAM1 & 0.121 & 2.68213055315834e-59
PTAFR & 0.121 & 7.85350026907788e-44
ENG & 0.118 & 8.0344866327019e-32
RPS6KA1 & 0.118 & 3.46326880933066e-42
ZNF831 & 0.116 & 1.78624541854703e-18
HMOX1 & 0.112 & 6.99339126612788e-51
TMIGD3 & 0.112 & 9.63511514168786e-35
DAB2 & 0.111 & 9.17388819625404e-19
TLR6 & 0.111 & 2.20526498967909e-37
PYCARD & 0.108 & 1.23739770641236e-34
TRIM21 & 0.108 & 1.08954907738014e-46
BCL3 & 0.107 & 1.86271033931745e-38
NMI & 0.107 & 3.29323503133125e-41
CEBPA & 0.106 & 2.24999248167256e-36
LEF1 & 0.105 & 4.26366873011147e-20
PARP10 & 0.104 & 7.85934068398065e-31
SERPINE1 & 0.102 & 7.36893230305862e-33
PTTG1 & 0.099 & 2.39152503377946e-24
PLK3 & 0.098 & 1.02267927304868e-42
CYP1B1 & 0.092 & 2.80120362642034e-20
DLGAP5 & 0.091 & 1.87928036078006e-19
CENPF & 0.09 & 1.96484399041241e-18
NFKB2 & 0.09 & 4.04528936914627e-31
RHOG & 0.09 & 2.64727338011711e-41
S100A9 & 0.09 & 6.66389397104998e-39
CAV1 & 0.088 & 7.45386239026953e-20
DEPDC1 & 0.088 & 4.02465135208627e-22
MYBL2 & 0.088 & 5.52014991971673e-15
LMO2 & 0.087 & 4.22697316572041e-28
TLR3 & 0.086 & 1.67275454100381e-24
SP110 & 0.085 & 3.34935275522166e-47
ORC1 & 0.084 & 3.46654888070842e-20
AR & 0.083 & 1.30901881929734e-07
CAVIN1 & 0.083 & 5.78793535907864e-23
STAT2 & 0.083 & 7.28609393896121e-35
CCNA2 & 0.082 & 2.73988487800561e-16
STAT4 & 0.082 & 6.06787119768509e-14
AKNA & 0.081 & 2.2384189274597e-28
CD38 & 0.08 & 2.2250182351911e-18
FLI1 & 0.079 & 3.81177713015987e-37
NLRP3 & 0.077 & 1.14106231711567e-31
PRDM1 & 0.077 & 3.91008163217685e-40
CEBPB & 0.076 & 9.68181978935758e-24
FOXS1 & 0.076 & 1.4869678383284e-21
IRF3 & 0.076 & 1.28981467473016e-17
PHF11 & 0.074 & 1.68271526558495e-19
PSME1 & 0.074 & 5.32637162684531e-28
POU2AF1 & 0.073 & 7.60838522566743e-24
DCN & 0.072 & 1.20680425638735e-13
TGFB2 & 0.071 & 2.55085236211236e-18
ASF1B & 0.07 & 1.86848593712007e-16
CDC6 & 0.07 & 3.14955904542947e-14
S100A8 & 0.07 & 3.11311178492008e-32
GAS7 & 0.068 & 7.69460393065619e-16
RPS6KA4 & 0.068 & 3.83225811654221e-17
KANK2 & 0.067 & 2.46527245747943e-07
E2F7 & 0.066 & 1.06180143259416e-18
EIF2AK2 & 0.065 & 1.17006191333791e-40
FOXM1 & 0.065 & 6.39149471674587e-12
ZMYND15 & 0.065 & 1.66527843287494e-14
ELF1 & 0.061 & 3.6963247626066e-20
HTATIP2 & 0.061 & 3.24187368927566e-10
TNFRSF4 & 0.061 & 2.80120362642034e-20
BCL2L12 & 0.059 & 1.92229711150875e-10
MSC & 0.059 & 9.68785849557501e-12
PLK1 & 0.058 & 9.41350638685498e-09
STK3 & 0.054 & 3.18489731587445e-10
BCL11B & 0.053 & 1.06903233538681e-07
PRKCB & 0.051 & 0.000484422305479129
VGLL3 & 0.049 & 1.55796637291686e-09
PIM2 & 0.043 & 2.20440915325954e-13
PRKCH & 0.04 & 1.39515126933686e-13
CMKLR1 & 0.039 & 4.43687091304703e-21
DLL4 & 0.038 & 1.53002906712539e-05
