MR,List_ICR_Cancers,No_ICR_Cancers
CD4,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
ITGB2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CD86,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PLEK,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
NLRP3,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
SPI1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
BTK,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
TRIM22,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
IKZF1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
NCF1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
MNDA,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
FLI1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
HAVCR2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CD28,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
LGALS9,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
LILRB4,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
TFEC,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
NLRC3,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
SLA2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CD3D,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
IRF1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PYHIN1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
ZNF831,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PSME2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PSMB9,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PSMB8,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
STAT1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CIITA,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
SP140,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
TBX21,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
BATF2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
POU2AF1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CD40LG,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
ETV7,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CD74,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
FASLG,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PARP9,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
DDX58,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
CXCL10,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PIM2,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
TNFSF8,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
LYL1,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
SP100,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
PRKCB,BLCA BRCA HNSC LIHC SARC SKCM STAD UCEC,8
IL16,BLCA BRCA HNSC LIHC SARC STAD UCEC,7
RHOH,BLCA HNSC LIHC SARC SKCM STAD UCEC,7
ZBED2,BLCA BRCA LIHC SARC SKCM STAD UCEC,7
CARD16,BLCA BRCA HNSC LIHC SARC STAD UCEC,7
NLRC5,BLCA BRCA HNSC LIHC SARC SKCM STAD,7
RELB,BLCA BRCA HNSC LIHC SKCM STAD UCEC,7
PARP14,BLCA BRCA HNSC SARC SKCM STAD UCEC,7
AKNA,BLCA BRCA HNSC LIHC SKCM STAD UCEC,7
FOXP3,BLCA BRCA HNSC SARC SKCM STAD UCEC,7
PSMB10,BLCA HNSC LIHC SARC SKCM STAD UCEC,7
APOE,BLCA BRCA HNSC SARC STAD UCEC,6
TMIGD3,BLCA BRCA LIHC SKCM STAD UCEC,6
TRIM21,BLCA HNSC LIHC SARC SKCM STAD,6
PLSCR1,BLCA BRCA HNSC LIHC SARC STAD,6
PARP10,BLCA HNSC SARC SKCM STAD UCEC,6
DDX39B,BLCA BRCA LIHC SARC STAD UCEC,6
SALL2,BLCA BRCA HNSC SARC STAD UCEC,6
NMI,BRCA HNSC SARC SKCM STAD UCEC,6
ZEB2,BLCA BRCA HNSC LIHC UCEC,5
TGFB1I1,BLCA BRCA HNSC SARC STAD,5
SP110,BLCA HNSC SKCM STAD UCEC,5
SLC11A1,BLCA BRCA SARC SKCM UCEC,5
DTX3L,BLCA SARC SKCM STAD UCEC,5
OSM,BLCA LIHC SARC SKCM STAD,5
EIF2AK2,BLCA HNSC LIHC SKCM STAD,5
HSF4,BLCA BRCA LIHC SARC STAD,5
SS18L1,BLCA HNSC LIHC SARC STAD,5
ZNF789,BLCA BRCA LIHC SARC STAD,5
OVOL1,BLCA BRCA LIHC STAD UCEC,5
RAI1,BLCA BRCA HNSC LIHC SARC,5
ZNF354B,BLCA BRCA LIHC SARC UCEC,5
TLR3,BLCA HNSC SARC SKCM STAD,5
HELZ2,BLCA HNSC SARC SKCM STAD,5
PTTG1,BLCA BRCA HNSC LIHC STAD,5
TEAD2,BRCA HNSC SARC STAD UCEC,5
IGF2,BRCA HNSC SARC STAD UCEC,5
RHOG,BRCA LIHC SARC STAD UCEC,5
PSME1,BRCA LIHC SARC SKCM STAD,5
ACTN1,BLCA HNSC SARC STAD,4
MSC,BLCA BRCA STAD UCEC,4
CDC45,BLCA BRCA LIHC STAD,4
AURKB,BLCA BRCA LIHC STAD,4
S100A8,BLCA BRCA LIHC SARC,4
PABPC1L,BLCA BRCA STAD UCEC,4
TRIM52,BLCA BRCA HNSC LIHC,4
ZNF169,BLCA BRCA LIHC SARC,4
ZNF337,BLCA BRCA LIHC SARC,4
DMTF1,BLCA BRCA LIHC SARC,4
NR2C2,BLCA BRCA LIHC SARC,4
CDH1,BLCA HNSC LIHC STAD,4
TBX2,BLCA BRCA HNSC STAD,4
JUP,BLCA HNSC LIHC STAD,4
ZNF805,BLCA BRCA LIHC SARC,4
DLGAP5,BLCA BRCA LIHC STAD,4
S100A9,BLCA BRCA LIHC SARC,4
RRM2,BLCA BRCA LIHC STAD,4
CREB3L4,BLCA BRCA HNSC STAD,4
HEXIM2,BLCA BRCA LIHC SARC,4
DAB2,BLCA HNSC SARC UCEC,4
ZNF7,BLCA HNSC SKCM UCEC,4
BIRC5,BLCA BRCA LIHC STAD,4
SMARCC2,BLCA BRCA LIHC SARC,4
ZSCAN32,BLCA BRCA LIHC SKCM,4
RPS14,BLCA HNSC LIHC STAD,4
ZNF423,BLCA BRCA LIHC STAD,4
