MR & FC_Median & Pval
SLA2 & 0.164 & 2.17225644599285e-197
PYHIN1 & 0.155 & 1.87711352161152e-215
SP140 & 0.154 & 3.55003584053442e-163
CD3D & 0.149 & 2.85975089781253e-186
TBX21 & 0.148 & 1.16540713261186e-202
FASLG & 0.146 & 6.82593287170804e-206
FOXP3 & 0.146 & 4.86061515360647e-153
BTK & 0.141 & 8.11640263510518e-164
CD86 & 0.138 & 1.88655940360082e-153
LILRB4 & 0.138 & 3.74091098506019e-157
ZNF831 & 0.138 & 2.65262976576557e-147
MNDA & 0.134 & 1.37566603068694e-136
CD40LG & 0.133 & 3.7893635576218e-151
IKZF1 & 0.132 & 7.46781010346947e-121
SPI1 & 0.132 & 5.91202714497584e-136
TFEC & 0.132 & 1.37774049774475e-142
NCF1 & 0.13 & 6.00391599607752e-162
PIM2 & 0.13 & 2.79195273926329e-147
CD28 & 0.127 & 6.33843747603511e-117
PLEK & 0.126 & 7.6501921958517e-138
CXCL10 & 0.125 & 5.47136256153674e-145
ITGB2 & 0.125 & 2.10305237200668e-129
POU2AF1 & 0.124 & 3.53057437839441e-125
TRIM21 & 0.123 & 1.22520275593633e-126
ZBED2 & 0.12 & 1.449475297929e-86
IRF1 & 0.119 & 3.86122705161374e-168
HAVCR2 & 0.118 & 8.432691143353e-152
RHOG & 0.112 & 3.02669017117105e-117
TNFSF8 & 0.112 & 3.13147851515597e-102
APOE & 0.11 & 1.07295572828995e-76
CIITA & 0.109 & 9.63997021395284e-128
NLRC3 & 0.109 & 6.97589197958117e-121
CARD16 & 0.108 & 1.32695844165363e-124
CD4 & 0.108 & 2.58062022440021e-96
CD74 & 0.108 & 5.31594609436549e-121
S100A8 & 0.108 & 2.35544417063354e-100
PLSCR1 & 0.107 & 2.05855324472455e-96
PSMB8 & 0.107 & 6.2267155945145e-117
PSME2 & 0.107 & 3.94750098125501e-111
NLRC5 & 0.106 & 3.35235287292147e-129
PSMB10 & 0.106 & 2.10305237200668e-129
S100A9 & 0.106 & 2.54821035140839e-99
PRKCB & 0.105 & 1.18642398408863e-92
PSMB9 & 0.105 & 8.74695688393295e-132
STAT1 & 0.105 & 2.39665859773866e-105
LGALS9 & 0.103 & 2.76114618873403e-106
TMIGD3 & 0.103 & 9.92104045855548e-79
BATF2 & 0.1 & 3.09409215237184e-92
IRF7 & 0.1 & 5.99051168007622e-58
LYL1 & 0.098 & 1.38245699463089e-102
NMI & 0.098 & 4.03068151244113e-56
ETV7 & 0.097 & 2.79229028736679e-104
MSC & 0.097 & 2.96118527355808e-75
RHOH & 0.097 & 2.9454359138675e-75
SP110 & 0.096 & 1.03069702562878e-40
TRIM22 & 0.094 & 3.16580172395069e-92
OSM & 0.093 & 6.33928095807785e-83
RELB & 0.093 & 3.75963685861318e-87
IL16 & 0.092 & 2.35959601613161e-74
SP100 & 0.091 & 7.54032251635824e-79
DDX58 & 0.09 & 1.26681808257014e-77
PARP14 & 0.089 & 7.26075767925891e-105
NLRP3 & 0.085 & 7.1662600939478e-68
AKNA & 0.084 & 9.78662157955987e-62
PTTG1 & 0.084 & 9.78662157955987e-62
FLI1 & 0.075 & 1.21563109788367e-58
RRM2 & 0.074 & 1.9044766271554e-37
PYCARD & 0.071 & 1.8032537146185e-41
TLR3 & 0.07 & 4.1668555667769e-57
DAB2 & 0.069 & 9.5102951129509e-31
PARP10 & 0.068 & 2.70480630413692e-45
SLC11A1 & 0.068 & 1.61980250749588e-57
AURKB & 0.067 & 6.6530746369079e-39
HELZ2 & 0.066 & 2.74799437104717e-43
DLGAP5 & 0.065 & 3.20207603044359e-38
ZEB2 & 0.064 & 2.5267796804968e-44
DTX3L & 0.062 & 8.75311215954157e-53
PARP9 & 0.06 & 2.85038743885361e-57
PSME1 & 0.056 & 4.56835577386427e-34
ACTN1 & 0.046 & 1.74473081288456e-14
BIRC5 & 0.045 & 4.90753484456168e-24
EIF2AK2 & 0.045 & 5.47083107751354e-22
CDC45 & 0.044 & 5.52847334017356e-19
TEAD2 & 0.029 & 2.87593361557033e-06
TGFB1I1 & 0.011 & 0.00398739861814819
ARL2BP & -0.014 & 0.00065173758630049
SMO & -0.02 & 0.00266645338095725
PYGO1 & -0.023 & 4.1919056224313e-05
TCEAL3 & -0.023 & 4.11078009496644e-06
TAF2 & -0.025 & 2.35934571365201e-09
IGF2 & -0.029 & 2.06631333340395e-08
ZNF770 & -0.034 & 1.34354703693363e-19
NR2C2 & -0.036 & 1.71680396185483e-23
ZNF423 & -0.045 & 5.33084230929639e-19
ZNF354B & -0.049 & 2.55040062892588e-30
APBB3 & -0.05 & 4.95562839775809e-30
DMTF1 & -0.054 & 5.78576078023893e-46
TBX2 & -0.054 & 2.85258051865816e-39
CDH1 & -0.055 & 1.9205317629e-38
TRIM52 & -0.059 & 1.2655624803245e-31
HSF4 & -0.063 & 4.53080907419223e-45
HEXIM2 & -0.066 & 1.34670325342201e-29
RAI1 & -0.066 & 9.88645796590156e-39
JUP & -0.067 & 5.06846250305739e-43
SS18L1 & -0.068 & 9.9068459276622e-49
PABPC1L & -0.073 & 8.77599675523238e-63
ZNF169 & -0.074 & 1.42873990157517e-44
ZNF805 & -0.074 & 6.14388132148538e-39
ZNF789 & -0.075 & 1.016233617124e-52
ZNF337 & -0.077 & 1.38422153402723e-73
ZNF7 & -0.077 & 2.28964688833592e-57
ZSCAN32 & -0.08 & 7.2797903743838e-61
SMARCC2 & -0.084 & 1.8885199989977e-66
DDX39B & -0.085 & 4.49701189873711e-82
OVOL1 & -0.088 & 1.60095575568563e-66
CREB3L4 & -0.098 & 1.30206999750734e-63
SALL2 & -0.105 & 1.28805164257029e-69
