MR Padj NES Cancer Median_ICR_High Median_ICR_Low
CD4 2.47609090446725e-05 2.97725806055401 BLCA 0.0997761601254577 -0.10079791390087
SPHK1 2.47609090446725e-05 2.05663268919381 BLCA 0.103878939014142 -0.10238057191141
FGFR1 2.47609090446725e-05 1.73408897164703 BLCA 0.062740273589381 -0.0970927563034357
ZEB2 2.47609090446725e-05 2.42204932944686 BLCA 0.0782278010088202 -0.0932327921194364
CAVIN1 2.47609090446725e-05 2.26973121507492 BLCA 0.113225006469289 -0.11139445898032
PRRX1 2.47609090446725e-05 2.51979252019847 BLCA 0.091698247329165 -0.0865599295424534
IL1RAP 2.47609090446725e-05 1.77744868031394 BLCA 0.101435305171308 -0.0784106000537289
DDR2 2.47609090446725e-05 2.50695779172817 BLCA 0.0807767254431901 -0.097172978598582
ICAM1 2.47609090446725e-05 2.15643322224381 BLCA 0.0789546518259434 -0.0946999259861653
TGFB3 2.47609090446725e-05 2.40009385437505 BLCA 0.0949330544874608 -0.10281448846563
MEF2C 2.47609090446725e-05 2.02953086062022 BLCA 0.0357678398704712 -0.0703407110072194
ITGB2 2.47609090446725e-05 3.12782628553053 BLCA 0.11212991378893 -0.112390875682329
ZEB1 2.47609090446725e-05 1.84470551566811 BLCA 0.0649452238073251 -0.0947024417658265
FBN1 2.47609090446725e-05 2.72309344367204 BLCA 0.0890859211815781 -0.104405476760363
BNC2 2.47609090446725e-05 2.53487303453817 BLCA 0.0749747021190083 -0.09246031484426
CMKLR1 2.47609090446725e-05 2.95923017931602 BLCA 0.117345113069158 -0.103196430385042
IL16 2.47609090446725e-05 2.86475787942549 BLCA 0.0911905479123691 -0.121486633938528
ACTN1 2.47609090446725e-05 1.93987690545794 BLCA 0.0989170248810932 -0.105780487960925
CD86 2.47609090446725e-05 2.83830606954374 BLCA 0.128450805338114 -0.109219143489186
IRF8 2.47609090446725e-05 2.93718356295537 BLCA 0.101707295277265 -0.11666589026771
EBF1 2.47609090446725e-05 1.93102225803502 BLCA 0.0568098842261696 -0.0934052369131183
HCK 2.47609090446725e-05 3.04875390433028 BLCA 0.10766190032232 -0.0914212834192005
PLEK 2.47609090446725e-05 3.11964924561685 BLCA 0.0968071017492721 -0.105473795648597
NLRP3 2.47609090446725e-05 2.50606095640629 BLCA 0.0988800075615334 -0.0935371207265465
SPI1 2.47609090446725e-05 3.14637250328024 BLCA 0.109737913599371 -0.110260771142383
BTK 2.47609090446725e-05 3.11942640465331 BLCA 0.109617687699527 -0.107067837469645
VENTX 2.47609090446725e-05 2.5664164855539 BLCA 0.0948326168345467 -0.100844653032929
AEBP1 2.47609090446725e-05 2.8724370286077 BLCA 0.0747711635241129 -0.0930282259355479
FSTL1 2.47609090446725e-05 1.81104788463084 BLCA 0.0675105253369365 -0.0937839840952841
NFAM1 2.47609090446725e-05 3.01946932176999 BLCA 0.105823332413425 -0.111471224548056
RHOH 2.47609090446725e-05 3.1226711244623 BLCA 0.115861256983056 -0.112652668587373
TRIM22 2.47609090446725e-05 2.29059346542983 BLCA 0.0949453212150819 -0.087655814082521
IKZF1 2.47609090446725e-05 2.93381132607199 BLCA 0.126809382696925 -0.132074700527641
ORC1 2.47609090446725e-05 1.80188575918442 BLCA 0.0895245332525874 -0.0799287956083764
NCF1 2.47609090446725e-05 3.07645737095039 BLCA 0.104155954156203 -0.110478221600623
MNDA 2.47609090446725e-05 3.07013015495092 BLCA 0.109038923591295 -0.110942028947997
HTRA3 2.47609090446725e-05 2.59693019161952 BLCA 0.0832726474979111 -0.0960532213405394
