Pval,Mean1,Mean2,FC_Mean
PRDM16,0.000206403328474853,-0.009,0.007,-0.016
SALL2,9.15131295297119e-18,-0.017,0.018,-0.035
RCOR1,0.0239424586527336,0.003,-0.004,0.007
PRMT5,0.00368902964268933,-0.008,0.004,-0.012
IPPK,1.77006345391959e-12,0.01,-0.015,0.025
SETD3,0.0248484568829337,-0.005,0.003,-0.008
PPM1A,6.77276003629573e-16,-0.014,0.011,-0.025
ZNF770,0.010726941277807,-0.003,0.002,-0.005
TCEAL3,0.361028092820285,0.001,-0.003,0.005
ZBTB47,0.000282167448983829,0.008,-0.009,0.017
PEG3,1.39352214372356e-16,-0.021,0.016,-0.037
BTRC,1.05579058621762e-78,-0.039,0.037,-0.077
PDPK1,1.23303059317858e-56,-0.03,0.027,-0.057
NRIP2,1.03917071411858e-52,-0.032,0.028,-0.06
ZNF423,4.34044485796121e-36,-0.026,0.03,-0.056
LHX4,6.95892405929949e-76,-0.03,0.028,-0.058
NR2C2,2.28652372727624e-34,-0.018,0.016,-0.033
SETD5,8.42411404226846e-37,-0.024,0.02,-0.044
ZNF91,3.16288660532335e-99,-0.036,0.036,-0.072
CCNT2,2.33454989894475e-57,-0.031,0.029,-0.061
SMARCC2,8.14206863615605e-51,-0.026,0.029,-0.055
PRKCZ,8.96772011688216e-51,-0.035,0.035,-0.07
UBE2V1,1,0,0,0
TSSK4,1.11452115053649e-14,-0.008,0.007,-0.015
ZNF354B,2.83130151461895e-18,-0.013,0.01,-0.023
ZNF852,5.44933120178028e-14,-0.01,0.01,-0.02
ZNF169,1.01743948084733e-37,-0.017,0.018,-0.035
ZNF619,3.60903406835817e-16,-0.014,0.016,-0.03
NFKBIL1,6.08442978292338e-22,-0.02,0.014,-0.034
HDAC10,0.480646241200906,-0.002,0.001,-0.003
GLI4,1.67716152787949e-10,-0.011,0.009,-0.02
ZNF7,4.83403405348585e-17,-0.016,0.013,-0.029
ZNF805,0.130546003467565,0.003,-0.007,0.01
APBB3,3.31359464193933e-13,-0.011,0.009,-0.021
HSF4,2.44742627727189e-36,-0.02,0.019,-0.039
TRIM52,1.94291259347725e-37,-0.022,0.019,-0.041
DMTF1,6.23903238756641e-19,-0.013,0.011,-0.024
ZNF789,1.28549986036817e-27,-0.015,0.015,-0.029
ZNF337,3.44801108047321e-43,-0.018,0.021,-0.039
L3MBTL1,4.43503108286113e-77,-0.03,0.031,-0.061
EFCAB6,4.08707474132188e-16,-0.017,0.013,-0.03
ZNF214,0.00353477555343026,-0.006,0.003,-0.008
CREB3L4,2.29266977779879e-05,-0.009,0.007,-0.016
HEXIM2,1.17758576925862e-10,-0.009,0.009,-0.018
BOLA1,5.35343092111726e-13,-0.014,0.012,-0.026
SIRT5,1.02420065470419e-05,-0.01,0.01,-0.02
ALKBH4,2.27110216912895e-20,-0.016,0.015,-0.031
NUFIP1,2.25038352607229e-26,-0.018,0.017,-0.035
ZNF3,2.23119947946399e-30,-0.021,0.021,-0.042
TCERG1,3.38190769744288e-26,-0.019,0.017,-0.036
SS18L1,3.8298918288129e-65,-0.03,0.027,-0.057
KAT2A,4.3344343192166e-30,-0.02,0.018,-0.038
ING5,3.88425747866491e-30,-0.018,0.018,-0.036
ZNF133,3.64675475000408e-48,-0.032,0.027,-0.059
KAT5,5.77479238511655e-34,-0.022,0.022,-0.044
PIDD1,0.0345840381690182,0.017,0.026,-0.008
ZNF696,2.39596211490874e-11,0.008,0.036,-0.028
NFAM1,1.15605699236821e-83,0.038,-0.043,0.081
PARP15,1.44217489630989e-71,0.031,-0.035,0.066
DAB2,1.57089473204299e-52,0.031,-0.038,0.069
RELB,1.11893768219725e-86,0.046,-0.051,0.096
ADAM8,9.05991262262704e-30,0.012,-0.04,0.052
NFKB2,3.05322985878191e-82,0.029,-0.061,0.09
SLC11A1,2.50768407850629e-94,0.042,-0.047,0.089
OSM,7.06226363382044e-95,0.042,-0.046,0.088
RHOG,1.40471989380792e-122,0.051,-0.055,0.106
S100A9,1.57523733897767e-95,0.041,-0.049,0.09
S100A8,2.06026420750453e-115,0.047,-0.055,0.102
HMOX1,2.57966091265403e-65,0.034,-0.035,0.068
HAMP,3.21193135515379e-107,0.049,-0.054,0.103
CEBPB,7.73036959754727e-75,0.04,-0.049,0.089
CAVIN1,2.83129093305402e-77,0.039,-0.042,0.081
CAV1,6.44721455908312e-52,0.028,-0.034,0.062
ACTN1,7.28385475349411e-75,0.037,-0.042,0.079
PLK3,5.82468821920758e-70,0.034,-0.039,0.073
SERPINE1,1.17765733375952e-49,0.029,-0.038,0.067
LUM,1.13419304218106e-51,0.03,-0.035,0.065
DCN,2.36701210924893e-66,0.033,-0.039,0.072
ENG,3.91458408734729e-69,0.033,-0.038,0.071
COL1A1,1.07499062041526e-34,0.027,-0.031,0.058
NOTCH3,8.01513831620514e-40,0.027,-0.032,0.059
PRDM1,1.56724981287316e-96,0.044,-0.048,0.092
BATF,1.50202032252826e-62,0.031,-0.035,0.066
PYCARD,1.74067308987019e-43,0.024,-0.031,0.054
PARP10,2.1409918170032e-53,0.026,-0.028,0.054
PHF11,1.57280655683716e-53,0.028,-0.03,0.058
TLR6,5.10200459300197e-71,0.036,-0.039,0.075
TLR3,3.96052712493504e-52,0.029,-0.03,0.059
ZMYND15,2.3181042431943e-86,0.032,-0.034,0.066
RPS6KA1,1.96843413278281e-44,0.023,-0.027,0.05
CYP1B1,1.25603995479446e-46,0.025,-0.031,0.056
ICAM1,7.58814018832336e-91,0.045,-0.05,0.095
BCL3,3.13388122220595e-54,0.033,-0.036,0.069
PLEK,4.42884484676936e-136,0.044,-0.046,0.091
CD86,1.36340880862385e-124,0.047,-0.05,0.096
TMIGD3,1.28628099222965e-110,0.041,-0.044,0.085
HAVCR2,1.83212034657233e-113,0.041,-0.044,0.085
CD3D,5.59820554033671e-137,0.045,-0.047,0.092
LYL1,4.47568044168682e-22,-0.012,-0.053,0.041
NLRP3,5.53499636271117e-74,0.039,-0.044,0.083
TLR2,4.21741275031728e-46,0.032,-0.035,0.066
TRIM22,3.84679774008698e-102,0.046,-0.047,0.093
SP100,3.57778288388976e-88,0.043,-0.044,0.086
CD74,2.99986003427541e-113,0.049,-0.05,0.099
CIITA,2.03381438807689e-105,0.043,-0.046,0.089
CD4,5.77973295118976e-132,0.051,-0.053,0.104
BTK,2.6320281818243e-138,0.051,-0.055,0.107
IL16,3.47337190097498e-101,0.047,-0.05,0.096
ITGB2,1.40537706500798e-132,0.052,-0.054,0.107
MNDA,1.60480015642876e-123,0.049,-0.052,0.101
HCLS1,1.370353818771e-102,0.038,-0.045,0.083
TFEC,9.89532817982932e-139,0.051,-0.055,0.106
LGALS9,5.85080171320664e-103,0.045,-0.048,0.094
PTAFR,3.37924049918871e-92,0.04,-0.042,0.082
CMKLR1,3.51454653851247e-106,0.046,-0.05,0.096
NCF1,2.00224949620734e-149,0.052,-0.055,0.107
LILRB4,2.15135493801516e-147,0.058,-0.061,0.119
KLHL6,1.63171732634089e-84,0.035,-0.036,0.071
SP140,4.24156696395186e-139,0.049,-0.051,0.1
TBX21,3.35743107715482e-127,0.052,-0.055,0.107
RHOH,1.52987851985316e-146,0.058,-0.064,0.122
SLA2,4.41045644149198e-162,0.057,-0.061,0.119
TNFSF8,5.98598547091216e-119,0.051,-0.055,0.107
CD28,3.2449640508105e-73,0.037,-0.043,0.08
IKZF3,1.61869573854845e-82,0.037,-0.04,0.077
LPXN,5.23883938257168e-91,0.046,-0.048,0.094
SP140L,2.79068975182887e-59,0.031,-0.034,0.064
TRIM21,6.61764963853388e-72,0.04,-0.041,0.081
NMI,2.56478020515248e-100,0.052,-0.056,0.107
DTX3L,2.96380126910746e-90,0.038,-0.042,0.081
PARP14,2.86554242134782e-99,0.039,-0.043,0.082
PARP9,1.97718804105109e-95,0.043,-0.045,0.088
DDX58,3.30439801237448e-86,0.037,-0.045,0.082
BATF2,1.39887037214496e-75,0.04,-0.038,0.077
IRF7,2.16966165412657e-61,0.034,-0.04,0.074
HELZ2,8.63195698324671e-55,0.03,-0.035,0.065
SP110,3.0154793495933e-49,0.029,-0.031,0.06
PSMB10,1.01334688124475e-97,0.043,-0.046,0.089
CARD16,1.21207344051578e-66,0.037,-0.039,0.076
PSME1,1.27968650110365e-82,0.036,-0.04,0.076
PSMB9,5.68528713749464e-158,0.058,-0.062,0.12
PSMB8,3.96726081331361e-136,0.051,-0.055,0.107
PSME2,3.46869329727386e-145,0.052,-0.057,0.109
ETV7,6.4809281738095e-118,0.045,-0.049,0.094
PLSCR1,6.25137062892311e-108,0.048,-0.051,0.099
IRF1,4.59400582517855e-151,0.058,-0.061,0.12
CXCL10,1.53748658951821e-159,0.059,-0.063,0.122
NLRC5,7.2131961554027e-121,0.044,-0.047,0.091
STAT1,7.19840874513979e-121,0.046,-0.054,0.1
IFI16,4.73181634383497e-46,0.027,-0.024,0.051
RPS6KA4,7.2067734502722e-42,0.024,-0.028,0.052
EIF2AK2,4.34044485796121e-36,0.022,-0.026,0.048
LMO2,7.3839692202764e-27,0.02,-0.018,0.038
SIRT7,0.375463669718953,-0.002,0.001,-0.003
IRF9,8.46504172492354e-23,0.013,-0.014,0.027
TMSB4X,1,0,0,0
BCL11B,0.887248346609485,0.001,-0.003,0.004
PRKCH,1.67012929575511e-21,0.012,-0.012,0.024
ZBED2,3.36044855568177e-25,0.014,-0.013,0.027
HTATIP2,0.0622409761160538,0.002,-0.003,0.005
LEF1,3.855606581522e-19,0.015,-0.018,0.032
BCL6B,6.44605516101448e-09,0.009,-0.008,0.017
FOXS1,2.1403852469302e-25,0.015,-0.019,0.034
TGFB2,2.54542917329132e-17,0.014,-0.018,0.032
MECOM,1.71354825126156e-16,-0.016,0.015,-0.031
CEBPA,9.10463567369924e-05,-0.008,0.006,-0.014
TEAD2,4.61883424383021e-13,0.013,-0.014,0.028
COMMD5,1.7114223357127e-15,0.011,-0.014,0.025
IRF3,1.57511709763627e-09,0.011,-0.016,0.028
BCL2L12,2.10177921284797e-18,0.019,-0.021,0.04
STK3,9.34813170672635e-32,0.024,-0.03,0.054
STAT2,1.87420090426217e-46,0.05,-0.009,0.059
NLRC4,2.14838516634892e-28,0.032,0.007,0.025
TNFRSF4,1.08473560529594e-32,0.045,-0.004,0.049
FOXP3,2.99188285753772e-43,0.05,-0.005,0.054
AKNA,1.71354068926505e-29,0.016,-0.019,0.035
NLRC3,9.24598654381856e-75,0.026,-0.027,0.053
APOE,2.1180991896571e-80,0.034,-0.036,0.07
CD40LG,2.97378928001626e-80,0.034,-0.035,0.069
POU2AF1,1.23471913477714e-65,0.03,-0.03,0.06
PIM2,4.01223948487326e-73,0.032,-0.038,0.07
VGLL3,2.24517763860545e-23,0.016,-0.018,0.035
MSC,4.58578442574319e-82,0.037,-0.039,0.076
FLI1,1.37811153195923e-87,0.037,-0.04,0.077
IKZF1,4.8983472238353e-94,0.038,-0.038,0.075
GAS7,3.04600936912407e-21,0.016,-0.019,0.035
PRKCB,1.5897486931173e-42,0.026,-0.035,0.06
SPI1,1.38140122119995e-104,0.033,-0.032,0.065
FASLG,2.68481863563389e-74,0.028,-0.027,0.055
ZNF831,5.06383808861693e-45,0.019,-0.023,0.041
CD38,9.48835826365546e-31,0.018,-0.017,0.035
STAT4,2.96315008224933e-38,0.022,-0.022,0.044
PYHIN1,2.758271744871e-67,0.062,-0.008,0.07
CENPF,0.828865280907893,-0.004,-0.006,0.002
MYBL2,0.0579447853836595,0.001,-0.009,0.009
E2F1,0.579604354293028,-0.006,-0.003,-0.004
MXD3,5.20331419685961e-08,-0.013,0.009,-0.022
ASF1B,2.94838920427373e-05,0.005,-0.015,0.02
PTTG1,1.2107203358776e-20,0.013,-0.023,0.036
TRIP13,0.0281220624406029,0,-0.01,0.01
CDC45,7.56275509985707e-09,0.009,-0.018,0.026
BIRC5,8.15785286136423e-12,0.01,-0.018,0.028
CDC6,0.000354197496154382,0.004,-0.012,0.016
ORC1,6.81218701284979e-20,0.015,-0.023,0.038
AURKB,1.28759298361704e-20,0.015,-0.024,0.04
FOXM1,4.90343296666309e-08,0.006,-0.015,0.022
PLK1,5.45480528371834e-18,0.012,-0.024,0.036
DLGAP5,1.92170639360552e-20,0.017,-0.025,0.042
CCNA2,1.70256492083021e-27,0.02,-0.029,0.049
DEPDC1,1.80667795224065e-16,0.015,-0.024,0.039
RRM2,1.19667239941876e-23,0.019,-0.028,0.046
E2F7,1.06326612872157e-11,0.011,-0.022,0.033
