ID	Description	GeneRatio	BgRatio	pvalue	qvalue	genes	geneID	Count	clusters	generatio	bgratio
R-HSA-168256	Immune System	54/1840	1707/23216	4.58204696795e-15	2.68049747625e-12	CD74; DTX3L; NCF1; CD40LG; CD4; CD28; PTAFR; ADAM8; NLRC4; NLRC5; NLRC3; DDX58; STAT4; STAT2; STAT1; SLC11A1; CIITA; CD86; IFI16; TNFSF8; S100A9; S100A8; ICAM1; TNFRSF4; RELB; NFKB2; ITGB2; PRKCB; PSMB8; TRIM21; TRIM22; MNDA; LGALS9; LILRB4; FASLG; PYCARD; RHOG; IRF3; RPS6KA1; IRF1; IRF7; NLRP3; IRF9; EIF2AK2; IL16; TLR2; TLR3; NFAM1; TLR6; BTK; OSM; CD3D; HAVCR2; SP100	10346/3689/150372/10379/3965/920/10333/3661/6279/6737/653361/6773/84868/4261/959/23586/3665/391/7097/3659/6772/5610/915/58484/6280/940/6556/6195/6775/11006/6672/84166/197358/972/5579/151636/942/5971/7098/5008/3603/944/7293/3428/114548/3383/101/5724/29108/4332/5696/356/695/4791	54	3	0.0293478260869565	0.073526878015162
R-HSA-1280215	Cytokine Signaling in Immune system	28/458	455/23216	1.84518797806e-14	5.39717483584e-12	CD40LG; CD4; PTAFR; DDX58; STAT4; STAT2; STAT1; CIITA; TNFSF8; OSM; ICAM1; TNFRSF4; RELB; NFKB2; TRIM21; TRIM22; LGALS9; FASLG; IRF3; RPS6KA1; IRF1; IRF7; IRF9; EIF2AK2; IL16; PSMB8; HAVCR2; SP100	959/6672/3665/10346/3603/23586/10379/3965/920/6772/944/7293/3661/6737/3383/6773/5724/5610/84868/4261/6195/3659/5971/5008/6775/5696/356/4791	28	3	0.0611353711790393	0.0195985527222605
R-HSA-913531	Interferon Signaling	15/158	155/23216	6.77571670292e-11	9.90948567802e-09	IRF3; DDX58; IRF7; STAT2; STAT1; CIITA; IRF9; EIF2AK2; TRIM21; TRIM22; PTAFR; ICAM1; PSMB8; IRF1; SP100	6773/5724/4261/6772/6672/3665/6737/10346/3661/23586/3383/5696/5610/10379/3659	15	3	0.0949367088607595	0.00667643004824259
path:hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	16/201	198/23216	2.29942516217e-10	2.26927796203e-08	IRF3; DDX58; EIF2AK2; IRF7; STAT2; STAT1; E2F1; IRF9; CCNA2; TLR2; ICAM1; RELB; CXCL10; NFKB2; CD3D; BTK	3383/23586/3627/3661/3665/6772/6773/10379/4791/1869/5971/890/695/915/7097/5610	16	3	0.0796019900497512	0.00852860096485183
path:hsa05164	Influenza A - Homo sapiens (human)	15/171	169/23216	2.32746457644e-10	2.26927796203e-08	IRF3; DDX58; EIF2AK2; IRF7; STAT1; NLRP3; CIITA; IRF9; PRKCB; TLR3; FASLG; ICAM1; PYCARD; CXCL10; STAT2	23586/3627/3661/3665/3383/114548/6772/6773/10379/4261/356/29108/7098/5579/5610	15	3	0.087719298245614	0.00727946243969676
path:hsa05161	Hepatitis B - Homo sapiens (human)	14/144	144/23216	2.85291703321e-10	2.38422352061e-08	IRF3; DDX58; STAT4; IRF7; STAT2; STAT1; E2F1; BIRC5; PRKCB; TGFB2; TLR2; TLR3; FASLG; CCNA2	23586/3661/3665/6772/6773/6775/332/1869/356/890/7042/7097/7098/5579	14	3	0.0972222222222222	0.0062026188835286
R-HSA-877300	Interferon gamma signaling	11/94	91/23216	2.47098485146e-09	1.60614015345e-07	IRF3; IRF1; IRF7; STAT1; CIITA; IRF9; TRIM21; TRIM22; PTAFR; ICAM1; SP100	5724/4261/6772/6672/6737/3665/10346/3661/3383/10379/3659	11	3	0.117021276595745	0.0039197105444521
WP3858	Toll-like Receptor Signaling	7/31	31/23216	2.47047600621e-08	1.31384405785e-06	IRF3; IRF7; TLR2; TLR3; TLR6; RELB; NFKB2	10333/7097/7098/3665/3661/4791/5971	7	3	0.225806451612903	0.00133528600964852
path:hsa05162	Measles - Homo sapiens (human)	11/132	131/23216	1.1637352538e-07	5.21322880023e-06	IRF3; DDX58; CD28; IRF7; STAT2; STAT1; IRF9; EIF2AK2; TLR2; FASLG; CD3D	23586/3661/3665/356/6772/6773/10379/915/940/7097/5610	11	3	0.0833333333333333	0.00564266023432116
path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	10/104	104/23216	1.24761031117e-07	5.21322880023e-06	IRF1; STAT2; STAT1; IRF9; NLRP3; PYCARD; RELB; NFKB2; PLK3; BCL3	3659/602/6772/6773/10379/4791/1263/5971/114548/29108	10	3	0.0961538461538462	0.00447966919365955
WP1449	Regulation of toll-like receptor signaling pathway	11/143	143/23216	2.84902409065e-07	1.04167443314e-05	IRF3; IRF7; STAT1; PLK1; CD86; TLR2; TLR3; TLR6; CXCL10; NFKB2; BTK	3665/10333/3661/695/6772/7097/7098/5347/3627/4791/942	11	3	0.0769230769230769	0.00615954514128187
path:hsa05168	Herpes simplex infection - Homo sapiens (human)	12/185	183/23216	4.56693905241e-07	1.57156432098e-05	IRF3; CD74; DDX58; IRF7; STAT2; STAT1; IRF9; EIF2AK2; TLR2; TLR3; FASLG; SP100	23586/3661/3665/356/6672/6772/6773/10379/7097/7098/972/5610	12	3	0.0648648648648649	0.00788249483115093
WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	8/68	68/23216	5.0072582057e-07	1.62735891685e-05	PRKCH; CD40LG; STAT2; STAT1; PRKCB; TLR2; RELB; NFKB2	959/7097/5583/4791/5971/5579/6772/6773	8	3	0.117647058823529	0.0029290144727774
R-HSA-168898	Toll-Like Receptors Cascades	11/154	154/23216	6.0129158354e-07	1.64198041493e-05	IRF3; RPS6KA1; ITGB2; IRF7; TLR2; TLR3; S100A9; S100A8; TLR6; NFKB2; BTK	6279/3665/6195/6280/7098/695/3661/7097/3689/10333/4791	11	3	0.0714285714285714	0.00663335630599586
path:hsa05160	Hepatitis C - Homo sapiens (human)	11/155	155/23216	6.41535767327e-07	1.64198041493e-05	IRF3; DDX58; IRF7; STAT2; STAT1; E2F1; IRF9; EIF2AK2; TLR3; FASLG; CXCL10	3627/3661/3665/6772/6773/10379/23586/1869/356/7098/5610	11	3	0.0709677419354839	0.00667643004824259
path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	10/128	125/23216	7.04552987706e-07	1.71734790753e-05	NCF1; SPI1; STAT2; STAT1; IRF9; TGFB2; LILRB4; RELB; NFKB2; BTK	6688/653361/4791/6772/6773/10379/695/11006/7042/5971	10	3	0.078125	0.0053842177808408
WP3926	ApoE and miR-146 in inflammation and atherosclerosis	4/8	8/23216	7.71634405014e-07	1.80562450773e-05	TLR2; NFKB2; SPI1; APOE	7097/6688/348/4791	4	3	0.5	0.000344589937973811
WP4217	Ebola Virus Pathway on Host	10/130	128/23216	8.77588451572e-07	1.97457401604e-05	IRF3; ACTN1; IRF7; STAT1; EIF2AK2; DDX58; RELB; NFKB2; HAVCR2; CAV1	5610/84868/3665/3661/6772/5971/857/87/23586/4791	10	3	0.0769230769230769	0.00551343900758098
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	7/51	51/23216	9.14435111158e-07	1.98127607418e-05	IRF3; IRF7; TRIM21; TLR3; IFI16; NFKB2; NLRC3	3428/7098/197358/3661/3665/6737/4791	7	3	0.137254901960784	0.00219676085458305
WP75	Toll-like Receptor Signaling Pathway	9/102	102/23216	1.13670227181e-06	2.3748958179e-05	IRF3; IRF7; STAT1; CD86; TLR2; TLR3; TLR6; CXCL10; NFKB2	3665/10333/3661/6772/7097/7098/3627/4791/942	9	3	0.0882352941176471	0.00439352170916609
WP4298	Viral Acute Myocarditis	8/76	76/23216	1.1910191949e-06	2.4025732035e-05	ITGB2; CD40LG; STAT1; CD4; TLR3; PYCARD; NFKB2; CAV1	4791/959/857/7098/3689/6772/29108/920	8	3	0.105263157894737	0.00327360441075121
WP4066	Interleukin-4 and Interleukin-13 signaling	8/97	94/23216	6.00827900306e-06	0.000106510400509	BATF; ITGB2; STAT1; BIRC5; HMOX1; OSM; ICAM1; FASLG	10538/5008/6772/332/3162/3689/3383/356	8	3	0.0824742268041237	0.00404893177119228
toll_endogenous_pathway	Endogenous TLR signaling	5/26	26/23216	6.36341409902e-06	0.000109488154351	TLR2; TLR3; S100A9; S100A8; TLR6	6280/7098/6279/7097/10333	5	3	0.192307692307692	0.00111991729841489
path:hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	10/168	166/23216	9.19299487544e-06	0.000149386166726	IRF3; IRF7; STAT2; STAT1; IRF9; CARD16; IFI16; NLRP3; NLRC4; PYCARD	3661/6772/58484/6773/10379/3428/114769/114548/29108/3665	10	3	0.0595238095238095	0.00715024121295658
path:hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	8/104	102/23216	1.10382962225e-05	0.000172811805575	IRF3; IRF7; STAT1; CD86; TLR2; TLR3; TLR6; CXCL10	3627/3661/3665/10333/6772/942/7097/7098	8	3	0.0769230769230769	0.00439352170916609
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	6/50	50/23216	1.26475988657e-05	0.000189713982986	CD40LG; TNFSF8; FASLG; TNFRSF4; RELB; NFKB2	5971/959/7293/356/944/4791	6	3	0.12	0.00215368711233632
R-HSA-5686938	Regulation of TLR by endogenous ligand	4/16	16/23216	1.88002606265e-05	0.000255770987594	TLR2; S100A9; TLR6; S100A8	10333/6279/7097/6280	4	3	0.25	0.000689179875947622
R-HSA-1834941	STING mediated induction of host immune responses	4/16	16/23216	1.88002606265e-05	0.000255770987594	IRF3; IFI16; TRIM21; NLRC3	197358/3661/3428/6737	4	3	0.25	0.000689179875947622
path:hsa05416	Viral myocarditis - Homo sapiens (human)	6/59	56/23216	2.45512737644e-05	0.000322191262522	CD28; CD40LG; CD86; ITGB2; ICAM1; CAV1	3689/940/942/959/3383/857	6	3	0.101694915254237	0.00241212956581668
path:hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	10/186	186/23216	2.4783943271e-05	0.000322191262522	IRF3; IRF7; STAT2; STAT1; E2F1; IRF9; EIF2AK2; CD86; TLR3; ICAM1	3661/3665/6772/6773/10379/3383/1869/942/7098/5610	10	3	0.0537634408602151	0.00801171605789111
WP3617	Photodynamic therapy-induced NF-kB survival signaling	5/35	35/23216	2.91238449429e-05	0.000362498921097	RELB; BIRC5; CD40LG; NFKB2; ICAM1	332/959/4791/3383/5971	5	3	0.142857142857143	0.00150758097863542
WP1836	Interferon gamma signaling	3/7	7/23216	3.78484401418e-05	0.000451864030264	CIITA; PTAFR; SP100	4261/5724/6672	3	3	0.428571428571429	0.000301516195727085
path:hsa05321	Inflammatory bowel disease (IBD) - Homo sapiens (human)	6/65	63/23216	4.83987478009e-05	0.000555162107128	FOXP3; TGFB2; STAT4; STAT1; TBX21; TLR2	7042/7097/50943/30009/6772/6775	6	3	0.0923076923076923	0.00271364576154376
path:hsa04217	Necroptosis - Homo sapiens (human)	9/162	162/23216	4.95130857138e-05	0.000557022214281	STAT4; STAT2; NLRP3; IRF9; EIF2AK2; STAT1; TLR3; FASLG; PYCARD	6772/6773/6775/114548/10379/356/29108/7098/5610	9	3	0.0555555555555556	0.00697794624396968
path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	7/95	93/23216	5.20240020082e-05	0.000573646736986	DDX58; CD40LG; PRKCB; ICAM1; RELB; NFKB2; BTK	23586/4791/959/695/3383/5971/5579	7	3	0.0736842105263158	0.00400585802894555
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	8/127	127/23216	5.42529410882e-05	0.000577054009756	IRF3; RPS6KA1; ITGB2; IRF7; TLR2; TLR6; NFKB2; BTK	3665/6195/695/3661/7097/3689/10333/4791	8	3	0.062992125984252	0.00547036526533425
Pathway_TSLP	TSLP	4/21	21/23216	5.93677946292e-05	0.000595852479603	RELB; NFKB2; STAT4; STAT1	6772/4791/5971/6775	4	3	0.19047619047619	0.000904548587181254
R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	3/8	8/23216	6.00945235839e-05	0.000595852479603	IRF3; TLR3; IRF7	7098/3661/3665	3	3	0.375	0.000344589937973811
path:hsa05140	Leishmaniasis - Homo sapiens (human)	6/74	70/23216	8.79859775646e-05	0.000857863281255	TGFB2; ITGB2; STAT1; PRKCB; NCF1; TLR2	7042/653361/5579/7097/3689/6772	6	3	0.0810810810810811	0.00301516195727085
path:hsa05152	Tuberculosis - Homo sapiens (human)	9/179	175/23216	9.00284303706e-05	0.000863387406013	CD74; CEBPB; TGFB2; ITGB2; STAT1; CIITA; PLK3; TLR2; TLR6	1051/10333/3689/6772/7042/4261/1263/7097/972	9	3	0.0502793296089385	0.00753790489317712
WP2865	IL1 and megakaryocytes in obesity	4/24	24/23216	0.000102873918332	0.000955257813082	TLR2; S100A9; ICAM1; NLRP3	114548/7097/3383/6280	4	3	0.166666666666667	0.00103376981392143
path:hsa05144	Malaria - Homo sapiens (human)	5/49	48/23216	0.000137799436729	0.00111708120419	TLR2; TGFB2; ITGB2; CD40LG; ICAM1	7042/7097/959/3383/3689	5	3	0.102040816326531	0.00206753962784287
WP4462	Platelet-mediated interactions with vascular and circulating cells	3/12	12/23216	0.000228956275093	0.00171717206319	TGFB2; CD40LG; ICAM1	959/3383/7042	3	3	0.25	0.000516884906960717
R-HSA-1169408	ISG15 antiviral mechanism	4/30	30/23216	0.000252749516326	0.00178142731386	IRF3; DDX58; EIF2AK2; STAT1	6772/5610/3661/23586	4	3	0.133333333333333	0.00129221226740179
