MR,Adj_Pval,Adj.Pval
SP140L,2.45267065051384e-47,2.45267065051384e-47
DTX3L,1.9373495515162e-43,1.9373495515162e-43
LGALS9,1.02312785256106e-48,1.02312785256106e-48
CARD16,5.42942191023182e-63,5.42942191023182e-63
PSME2,7.04345854763932e-46,7.04345854763932e-46
ETV7,3.72556421158327e-51,3.72556421158327e-51
IRF3,1.28981467473016e-17,1.28981467473016e-17
ASF1B,1.86848593712007e-16,1.86848593712007e-16
PHF11,1.68271526558495e-19,1.68271526558495e-19
PARP10,7.85934068398065e-31,7.85934068398065e-31
DEPDC1,4.02465135208627e-22,4.02465135208627e-22
E2F7,1.06180143259416e-18,1.06180143259416e-18
MYBL2,5.52014991971673e-15,5.52014991971673e-15
STK3,3.18489731587445e-10,3.18489731587445e-10
DLGAP5,1.87928036078006e-19,1.87928036078006e-19
NFKB2,4.04528936914627e-31,4.04528936914627e-31
TRIM21,1.08954907738014e-46,1.08954907738014e-46
TLR3,1.67275454100381e-24,1.67275454100381e-24
EIF2AK2,1.17006191333791e-40,1.17006191333791e-40
ELF1,3.6963247626066e-20,3.6963247626066e-20
ZMYND15,1.66527843287494e-14,1.66527843287494e-14
CCNA2,2.73988487800561e-16,2.73988487800561e-16
PSMB10,3.52773800356725e-48,3.52773800356725e-48
BATF2,6.94264489879132e-39,6.94264489879132e-39
CENPF,1.96484399041241e-18,1.96484399041241e-18
CDC6,3.14955904542947e-14,3.14955904542947e-14
PLK1,9.41350638685498e-09,9.41350638685498e-09
MXD3,5.76680724909852e-08,5.76680724909852e-08
ICAM1,2.68213055315834e-59,2.68213055315834e-59
LEF1,4.26366873011147e-20,4.26366873011147e-20
IFI16,3.89939044888252e-53,3.89939044888252e-53
CEBPA,2.24999248167256e-36,2.24999248167256e-36
RPS6KA1,3.46326880933066e-42,3.46326880933066e-42
FLI1,3.81177713015987e-37,3.81177713015987e-37
PRDM1,3.91008163217685e-40,3.91008163217685e-40
SERPINE1,7.36893230305862e-33,7.36893230305862e-33
CEBPB,9.68181978935758e-24,9.68181978935758e-24
NLRP3,1.14106231711567e-31,1.14106231711567e-31
CMKLR1,4.43687091304703e-21,4.43687091304703e-21
