MR,Adj_Pval,Adj.Pval
PLSCR1,2.05855324472455e-96,2.05855324472455e-96
STAT1,2.39665859773866e-105,2.39665859773866e-105
SP100,7.54032251635824e-79,7.54032251635824e-79
PARP14,7.26075767925891e-105,7.26075767925891e-105
IRF1,3.86122705161374e-168,3.86122705161374e-168
PSMB9,8.74695688393295e-132,8.74695688393295e-132
NLRC5,3.35235287292147e-129,3.35235287292147e-129
SP110,1.03069702562878e-40,1.03069702562878e-40
DDX58,1.26681808257014e-77,1.26681808257014e-77
BATF2,3.09409215237184e-92,3.09409215237184e-92
PSME2,3.94750098125501e-111,3.94750098125501e-111
CD74,5.31594609436549e-121,5.31594609436549e-121
CIITA,9.63997021395284e-128,9.63997021395284e-128
NLRP3,7.1662600939478e-68,7.1662600939478e-68
LYL1,1.38245699463089e-102,1.38245699463089e-102
FLI1,1.21563109788367e-58,1.21563109788367e-58
PSMB8,6.2267155945145e-117,6.2267155945145e-117
CARD16,1.32695844165363e-124,1.32695844165363e-124
SLC11A1,1.61980250749588e-57,1.61980250749588e-57
MSC,2.96118527355808e-75,2.96118527355808e-75
OSM,6.33928095807785e-83,6.33928095807785e-83
TRIM22,3.16580172395069e-92,3.16580172395069e-92
RELB,3.75963685861318e-87,3.75963685861318e-87
PRKCB,1.18642398408863e-92,1.18642398408863e-92
HELZ2,2.74799437104717e-43,2.74799437104717e-43
TLR3,4.1668555667769e-57,4.1668555667769e-57
AKNA,9.78662157955987e-62,9.78662157955987e-62
ETV7,2.79229028736679e-104,2.79229028736679e-104
CXCL10,5.47136256153674e-145,5.47136256153674e-145
PSMB10,2.10305237200668e-129,2.10305237200668e-129
LGALS9,2.76114618873403e-106,2.76114618873403e-106
NMI,4.03068151244113e-56,4.03068151244113e-56
PARP10,2.70480630413692e-45,2.70480630413692e-45
DTX3L,8.75311215954157e-53,8.75311215954157e-53
PARP9,2.85038743885361e-57,2.85038743885361e-57
PSME1,4.56835577386427e-34,4.56835577386427e-34
TMIGD3,9.92104045855548e-79,9.92104045855548e-79
IRF7,5.99051168007622e-58,5.99051168007622e-58
RHOH,2.9454359138675e-75,2.9454359138675e-75
PYCARD,1.8032537146185e-41,1.8032537146185e-41
NCF1,6.00391599607752e-162,6.00391599607752e-162
