TF Padj NES TopMR Cancer Avg_ICR_High Avg_ICR_Low
CD4 2.28348645053305e-05 2.97752994244378 1 BLCA 0.0698968995927232 -0.0769935298258606
SPHK1 2.28348645053305e-05 2.05676018569167 1 BLCA 0.136913421258651 -0.140847341266894
FGFR1 2.28348645053305e-05 1.73459652793895 0 BLCA 0.026508008376527 -0.0589361278165819
ZEB2 2.28348645053305e-05 2.42263697816535 1 BLCA 0.0753160074003499 -0.0970443999247406
CAVIN1 2.28348645053305e-05 2.27022171564182 1 BLCA 0.100739286191776 -0.120073726639672
PRRX1 2.28348645053305e-05 2.52037304329807 1 BLCA 0.0890609606774967 -0.118226343753631
IL1RAP 2.28348645053305e-05 1.77785908256591 1 BLCA 0.0885489793360502 -0.0865669537299414
DDR2 2.28348645053305e-05 2.50768831974388 1 BLCA 0.0414838629442505 -0.085187212549512
ICAM1 2.28348645053305e-05 2.15681198450457 1 BLCA 0.118243863539472 -0.12683204048693
TGFB3 2.28348645053305e-05 2.40046471076804 1 BLCA 0.0777125641395183 -0.111257225458637
MEF2C 2.28348645053305e-05 2.0299326816359 1 BLCA 0.0274173739962357 -0.0550862361554427
ITGB2 2.28348645053305e-05 3.12806476419231 1 BLCA 0.151740287027408 -0.17065563485231
ZEB1 2.28348645053305e-05 1.84486653322177 1 BLCA 0.0177879695900771 -0.05111131767192
FBN1 2.28348645053305e-05 2.72307013033508 1 BLCA 0.0666702290722109 -0.0984030693605229
BNC2 2.28348645053305e-05 2.53495518360987 1 BLCA 0.056464428222699 -0.0906864734798401
CMKLR1 2.28348645053305e-05 2.959326080771 1 BLCA 0.148609990169284 -0.1596537044865
IL16 2.28348645053305e-05 2.8650954831438 1 BLCA 0.137435574465693 -0.158399149144517
ACTN1 2.28348645053305e-05 1.94012092747474 1 BLCA 0.0914829850613247 -0.103507802716502
CD86 2.28348645053305e-05 2.83851518823779 1 BLCA 0.171537717247884 -0.178880534848332
IRF8 2.28348645053305e-05 2.93739996667498 1 BLCA 0.127921806099792 -0.142557104836744
EBF1 2.28348645053305e-05 1.93129568488451 1 BLCA 0.0126786328855684 -0.0392004278549629
HCK 2.28348645053305e-05 3.04921932299787 1 BLCA 0.176946863858372 -0.184956691780573
PLEK 2.28348645053305e-05 3.12012548707182 1 BLCA 0.177963708929983 -0.183995224875767
NLRP3 2.28348645053305e-05 2.50648377917071 1 BLCA 0.150346059710239 -0.151613598457475
ZNF521 2.28348645053305e-05 2.26448785518452 1 BLCA 0.0179744129516856 -0.0630327818570442
SPI1 2.28348645053305e-05 3.14660415521454 1 BLCA 0.208434274155823 -0.221633880880762
BTK 2.28348645053305e-05 3.11955724193395 1 BLCA 0.144807227892296 -0.161072221727195
VENTX 2.28348645053305e-05 2.56662731024275 1 BLCA 0.0813931329135298 -0.0891324310411804
CELSR2 2.28348645053305e-05 2.07231317183741 1 BLCA 0.0263412660793391 -0.0164058485575891
AEBP1 2.28348645053305e-05 2.87255011683161 1 BLCA 0.0700569032741647 -0.111618969944369
FSTL1 2.28348645053305e-05 1.81119568991288 1 BLCA 0.0397540715549133 -0.0676359940512738
NFAM1 2.28348645053305e-05 3.01971575010493 1 BLCA 0.139599361628859 -0.144489530659244
RHOH 2.28348645053305e-05 3.12322286429677 1 BLCA 0.137348662308781 -0.148918672163199
TRIM22 2.28348645053305e-05 2.29088676305948 1 BLCA 0.11545157932588 -0.124424617982141
IKZF1 2.28348645053305e-05 2.93415353187889 1 BLCA 0.139493045300456 -0.143989470388966
ORC1 2.28348645053305e-05 1.80218364213025 1 BLCA 0.0665168827784412 -0.0269178419154646
NCF1 2.28348645053305e-05 3.07700173125607 1 BLCA 0.17028530178915 -0.170521749032599
MNDA 2.28348645053305e-05 3.07080789292978 1 BLCA 0.196866055892388 -0.205301105943589
HTRA3 2.28348645053305e-05 2.59750346966654 1 BLCA 0.105183162905934 -0.132794187805939
BARX2 2.28348645053305e-05 2.02487550535704 1 BLCA 0.0580059119721252 -0.0514642511376041
PTGIS 2.28348645053305e-05 1.80855126845328 1 BLCA 0.0101936370089604 -0.0504616823593041
LMCD1 2.28348645053305e-05 2.16166494222538 1 BLCA 0.0379973631630624 -0.0818779214220612
FLI1 2.28348645053305e-05 2.26658114544986 1 BLCA 0.0961039592103295 -0.108429201349049
FGF7 2.28348645053305e-05 2.40915117078403 1 BLCA 0.0238083251344213 -0.070517631517456
HAVCR2 2.28348645053305e-05 3.07155197891497 1 BLCA 0.185629010768259 -0.197019140207204
GREM1 2.28348645053305e-05 2.6440623914854 1 BLCA 0.0747315080299264 -0.110232707169193
PLK1 2.28348645053305e-05 1.78020473355832 1 BLCA 0.0556502037272508 -0.0269999397069309
RUNX3 2.28348645053305e-05 2.46031706934212 1 BLCA 0.160631452982313 -0.16262069170909
CD28 2.28348645053305e-05 2.9119469498894 1 BLCA 0.128254210236116 -0.147906834436207
ZNF469 2.28348645053305e-05 2.47154175297487 1 BLCA 0.089161537354079 -0.114954433950939
LGALS9 2.28348645053305e-05 1.95632453284464 1 BLCA 0.0306159497968237 -0.0429283994931672
DCN 2.28348645053305e-05 2.50621770621044 1 BLCA 0.0372955170547604 -0.0927327541134821
ZBED2 2.28348645053305e-05 2.19178841163504 1 BLCA 0.122744890411081 -0.12373041973713
TGFB1I1 2.28348645053305e-05 2.11962725342551 1 BLCA 0.0424611134357185 -0.0675121443723932
ROR2 2.28348645053305e-05 2.10043581737303 1 BLCA 0.0755532885217848 -0.101975857338939
BNC1 2.28348645053305e-05 2.04113864445778 1 BLCA 0.138030184933133 -0.116037201793354
ACVRL1 2.28348645053305e-05 2.05495885382376 1 BLCA 0.0442557292502373 -0.0659855496870595
INHBA 2.28348645053305e-05 2.46048851190474 1 BLCA 0.0802939696758092 -0.105303530931701
CARD16 2.28348645053305e-05 2.2437954184085 1 BLCA 0.102161704119885 -0.106276926069763
GLI2 2.28348645053305e-05 2.43670483888033 1 BLCA 0.0439657347060286 -0.0732300124138726
ENG 2.28348645053305e-05 1.9825910504369 1 BLCA 0.0406399667910953 -0.0577985867662526
MSC 2.28348645053305e-05 2.44217318355492 1 BLCA 0.0891613621744562 -0.124930732182703
TFEC 2.28348645053305e-05 2.4409008620385 1 BLCA 0.114166430938312 -0.117134347440806
SFRP2 2.28348645053305e-05 2.44318941687789 1 BLCA 0.0937920643006353 -0.135082764947126
HES2 2.28348645053305e-05 2.20810032148138 1 BLCA 0.0561514216355579 -0.0550828704113027
LOXL2 2.28348645053305e-05 2.54470181702175 1 BLCA 0.0544774253029714 -0.0761062590956652
KLHL6 2.28348645053305e-05 2.25060044863282 1 BLCA 0.0961639519626958 -0.105579853020604
HEYL 2.28348645053305e-05 1.75778543406022 1 BLCA 0.0159895157627945 -0.0401510372630684
HMGA2 2.28348645053305e-05 1.99388315143059 1 BLCA 0.111871592736128 -0.100414881243383
ECM1 2.28348645053305e-05 2.20812683612174 1 BLCA 0.0840293963477102 -0.0977067116037015
SULF1 2.28348645053305e-05 2.71357720005051 1 BLCA 0.088913290478381 -0.131707908769005
S1PR1 2.28348645053305e-05 1.90124365990712 1 BLCA 0.0143439807066443 -0.0427766183009344
NLRC3 2.28348645053305e-05 2.84841675994243 1 BLCA 0.120538123793303 -0.122204866070861
SP100 2.28348645053305e-05 1.81657660701013 1 BLCA 0.0651902499564161 -0.0759798616058427
APOE 2.28348645053305e-05 2.35615079512974 1 BLCA 0.0985370143706993 -0.112724580352066
FOXM1 2.28348645053305e-05 1.97553409111461 1 BLCA 0.0497700425691696 -0.023241104612945
CDT1 2.28348645053305e-05 1.94558330450827 1 BLCA 0.0511147077144117 -0.0245196016841902
CDC45 2.28348645053305e-05 1.82263669962917 1 BLCA 0.0300804444333486 -0.00169856972449542
CD80 2.28348645053305e-05 2.81244282766751 1 BLCA 0.194157487256652 -0.189349803032402
FOSL1 2.28348645053305e-05 1.99657831697235 1 BLCA 0.0804310500910633 -0.0690395517895329
BATF3 2.28348645053305e-05 1.95490557591086 1 BLCA 0.130009152388276 -0.126755154241245
SOX7 2.28348645053305e-05 2.10866460098901 1 BLCA 0.0670378685626745 -0.0673722243699212
CD3D 2.28348645053305e-05 2.97293104145408 1 BLCA 0.142439579122777 -0.154125956411221
EFEMP1 2.28348645053305e-05 2.13120035519982 1 BLCA 0.0751611542845486 -0.105879763639653
CSDC2 2.28348645053305e-05 2.16451693848953 1 BLCA 0.0197383526005241 -0.0723208476839617
COL1A1 2.28348645053305e-05 2.67062775591878 1 BLCA 0.0591037492200828 -0.095676342724009
LUM 2.28348645053305e-05 2.4738956907973 1 BLCA 0.0369244484971994 -0.0866764902024233
IRF1 2.28348645053305e-05 2.71889598091386 1 BLCA 0.119938768620895 -0.124126592307098
SFRP4 2.28348645053305e-05 2.52395050537615 1 BLCA 0.044871510986611 -0.100637354765114
CHRDL1 2.28348645053305e-05 1.87047441407749 1 BLCA 0.0228548465372118 -0.0576665568779405
TMIGD3 2.28348645053305e-05 2.69079035577926 1 BLCA 0.110638034378177 -0.119654860320081
CCNA2 2.28348645053305e-05 1.90929439844095 1 BLCA 0.0668542899784983 -0.0298876927382516
LZTS1 2.28348645053305e-05 1.82657274298054 1 BLCA 0.0196673685121112 -0.0302616815690653
AURKB 2.28348645053305e-05 1.87337284150349 1 BLCA 0.0379821450431538 -0.0076595458467267
IRF4 2.28348645053305e-05 2.94794298993412 1 BLCA 0.146525960914364 -0.162906555788402
RAMP3 2.28348645053305e-05 1.94753871565783 1 BLCA 0.0362088224363588 -0.0629498901465406
